x,y,diameter,area
256,135,77.90901947021484,4199.5
237,130,79.4146499633789,4374.5
221,125,80.47630310058594,4508.0
208,123,81.40567779541016,4626.0
200,121,81.20377349853516,4603.5
197,121,81.28160095214844,4647.5
198,122,82.11424255371094,4615.0
204,125,82.71182250976562,4432.0
215,129,82.3316421508789,4312.5
229,134,80.10047149658203,4049.0
247,139,79.0255126953125,3829.5
267,144,78.74687194824219,3647.5
289,150,75.21322631835938,3403.0
314,157,74.63262939453125,3252.0
339,165,71.78876495361328,2997.5
362,171,71.40048217773438,3022.5
382,175,68.89254760742188,2915.5
400,179,68.60055541992188,2919.5
418,183,70.76742553710938,2767.0
433,188,72.06396484375,2987.5
450,194,71.120361328125,2907.5
465,199,70.86224365234375,3118.5
480,203,70.96221923828125,3039.5
495,209,72.36731719970703,3243.0
507,211,72.61882781982422,3160.0
516,213,74.23873901367188,3173.0
525,215,70.5057601928711,2962.5
529,218,72.47087860107422,3149.0
531,217,70.86763000488281,3095.5
530,219,72.14591217041016,2942.0
524,221,72.00714111328125,3028.5
516,222,70.66223907470703,2995.0
504,223,71.91560363769531,3098.0
490,220,73.57532501220703,3174.5
475,217,72.00714111328125,3125.5
457,212,70.1719970703125,3000.0
435,205,69.90350341796875,2972.5
412,197,69.06641387939453,2820.5
386,189,67.3223648071289,2900.5
361,182,69.85100555419922,2921.5
332,174,72.29643249511719,3078.5
306,166,73.25875854492188,3382.5
281,157,76.71063232421875,3574.5
258,149,76.77953338623047,3980.0
239,142,81.2515869140625,4265.5
223,137,80.49388885498047,4435.5
212,135,81.7762680053711,4651.5
209,137,83.09124755859375,4708.0
212,142,85.07664489746094,4657.5
223,150,86.70250701904297,4631.5
239,160,87.3150863647461,4550.5
265,170,86.82825469970703,4361.5
296,178,83.9329833984375,4158.0
334,186,81.34611511230469,4183.0
374,191,96.7472915649414,4459.0
416,196,101.00019836425781,4573.5
458,200,89.92790222167969,4619.5
